hrmonth,hryear4,pwsswgt,prtage,pemlr,peeduca,gestfips
10,2019,25672152,7,-1,-1,4
10,2019,-1,-1,-1,-1,1
10,2019,31827499,32,1,39,1
10,2019,21519319,19,7,38,1
10,2019,17681170,65,5,39,1
10,2019,23365739,12,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,21329451,38,1,42,1
10,2019,20525647,17,1,37,1
10,2019,16581226,64,1,43,1
10,2019,17096749,66,5,39,1
10,2019,18232796,71,5,43,1
10,2019,-1,-1,-1,-1,2
10,2019,19226002,79,5,39,1
10,2019,4470967,63,1,42,2
10,2019,6168966,21,1,37,2
10,2019,6810246,23,1,39,2
10,2019,22091967,9,-1,-1,1
10,2019,21503181,28,1,45,1
10,2019,20754368,22,1,39,1
10,2019,17751610,50,1,42,1
10,2019,17833400,54,1,37,1
10,2019,18260390,39,1,39,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,32630827,28,1,43,1
10,2019,19475726,32,1,41,1
10,2019,25351034,54,6,40,1
10,2019,-1,-1,-1,-1,1
10,2019,19381237,7,-1,-1,1
10,2019,27324790,27,7,32,1
10,2019,18136186,42,1,36,1
10,2019,21611646,35,1,42,1
10,2019,18685778,7,-1,-1,1
10,2019,18550286,85,5,34,1
10,2019,16965262,77,5,44,1
10,2019,18967573,61,1,43,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,16132413,69,5,39,1
10,2019,19329525,64,1,40,1
10,2019,19350580,75,5,39,1
10,2019,32002794,29,1,44,1
10,2019,3779056,3,-1,-1,2
10,2019,19961227,46,1,42,1
10,2019,-1,-1,-1,-1,1
10,2019,2562264,14,-1,-1,2
10,2019,4711881,50,6,40,2
10,2019,20965327,58,1,44,1
10,2019,18125940,72,5,43,1
10,2019,24761984,5,-1,-1,1
10,2019,17040489,18,7,40,1
10,2019,19529045,48,1,42,1
10,2019,-1,-1,-1,-1,1
10,2019,17924114,73,5,39,1
10,2019,19286321,40,1,39,1
10,2019,39839569,0,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,4401674,32,1,40,2
10,2019,-1,-1,-1,-1,2
10,2019,17462765,51,1,40,1
10,2019,4568125,30,1,43,2
10,2019,4909102,22,1,43,2
10,2019,39591114,43,1,39,4
10,2019,-1,-1,-1,-1,1
10,2019,17918102,59,1,41,1
10,2019,18451302,18,7,35,1
10,2019,21211150,55,1,39,1
10,2019,38159809,3,-1,-1,1
10,2019,19703109,26,1,40,1
10,2019,-1,-1,-1,-1,1
10,2019,24131352,50,1,37,1
10,2019,-1,-1,-1,-1,1
10,2019,19373820,30,1,39,1
10,2019,15611043,76,1,43,1
10,2019,19023005,41,1,39,1
10,2019,16462307,66,1,39,1
10,2019,19373820,30,1,39,1
10,2019,18679846,12,-1,-1,1
10,2019,18520282,41,7,39,1
10,2019,11008264,5,-1,-1,1
10,2019,18056205,64,1,40,1
10,2019,5315653,38,1,43,2
10,2019,6360111,6,-1,-1,2
10,2019,-1,-1,-1,-1,1
10,2019,32579650,2,-1,-1,1
10,2019,17817254,2,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,18402701,61,1,41,1
10,2019,-1,-1,-1,-1,1
10,2019,22222269,54,1,34,1
10,2019,5285248,42,1,40,2
10,2019,6078013,1,-1,-1,2
10,2019,5699227,1,-1,-1,2
10,2019,4519273,41,6,43,2
10,2019,3929213,9,-1,-1,2
10,2019,33012075,31,1,38,1
10,2019,32839271,6,-1,-1,1
